width: 64
height: 64
bmp1: racebmp1.png
bmp2: racebmp2.png
minimap: raceminimap.png

Surfaceplanes: (format rotY, posX,posZ) 
SF: stone.png
85.2146 34.7721 -33.4033 
90.3531 35.6069 -33.3901 
91.6582 36.5088 -33.4162 
75.7793 37.3929 -33.1922 
71.7876 38.1843 -32.8469 
51.7758 38.9053 -32.2791 
27.998 39.3416 -31.4584 
13.5667 39.5599 -30.5538 
11.5763 39.7443 -29.6533 
12.9333 39.9477 -28.7675 
15.5683 40.1911 -27.8939 
15.4669 40.439 -26.9982 
15.4696 40.6808 -26.1245 
17.2737 40.9531 -25.2487 
18.4923 41.2388 -24.3944 
20.9764 41.5809 -23.5023 
17.5385 41.8537 -22.639 
19.1768 42.1522 -21.7806 
27.267 42.5247 -20.93 
10.7986 42.701 -20.006 
18.0618 42.9955 -19.1029 
18.0676 43.2854 -18.2142 
5.40352 43.3711 -17.3085 
12.8935 43.5732 -16.4256 
11.8537 43.7629 -15.5216 
6.72295 43.8706 -14.6078 
15.9774 44.1257 -13.7169 
-64.2667 41.3941 -21.4374 
-67.1378 40.5291 -21.0727 
-75.1941 39.6463 -20.8394 
-69.3479 38.7946 -20.5184 
-63.1352 37.9314 -20.0811 
-69.2751 37.0404 -19.744 
-69.8186 36.1773 -19.4267 
-66.7514 35.3247 -19.0604 
-68.5227 34.4637 -18.7217 
-70.3557 33.5942 -18.4113 
-67.2081 32.7379 -18.0515 
-65.7817 31.9072 -17.6779 
-65.7826 31.06 -17.2968 
-67.6178 30.2062 -16.9452 
-66.1581 29.3818 -16.5809 
-62.6879 28.5781 -16.1659 
121.19 37.2593 -33.8862 
140.443 37.8478 -34.5987 
147.473 38.3319 -35.3578 
149.678 38.7971 -36.1531 
156.247 39.1621 -36.9825 
161.613 39.4566 -37.8684 
163.778 39.7112 -38.7435 
160.223 40.0309 -39.6328 
176.994 40.0781 -40.5316 
177.004 40.1304 -41.5301 
176.999 40.1827 -42.5287 
176.995 40.2299 -43.4276 
177.005 40.2769 -44.3264 
177.003 40.3292 -45.3248 
176.99 40.3764 -46.2237 
177.006 40.4287 -47.2225 
177.003 40.4809 -48.2207 
176.989 40.5282 -49.1196 
177.006 40.5805 -50.1185 
177.004 40.6327 -51.1169 
176.994 40.6852 -52.1155 
171.562 40.8248 -52.9168 
146.792 41.3368 -53.6989 
107.088 42.2105 -53.9675 
90.6005 43.2026 -53.9779 
83.1719 44.1263 -53.8673 
69.087 45.1769 -53.4658 
59.5216 45.9551 -53.0078 
54.7183 46.7067 -52.476 
59.468 47.5195 -51.9966 
57.9443 48.3579 -51.4716 
56.9307 49.1215 -50.9745 
64.4059 49.9618 -50.572 
65.8083 50.9731 -50.1176 
78.2639 51.9263 -49.9196 
80.1264 52.8447 -49.7597 
87.0066 53.7593 -49.7119 
103.639 54.6388 -49.9253 
241.448 39.2417 -40.7154 
268.261 38.282 -40.7446 
266.398 37.3836 -40.8011 
268.853 36.4352 -40.8201 
267.956 35.5149 -40.853 
264.319 34.5871 -40.9452 
267.945 33.6553 -40.9787 
-85.4588 32.7543 -40.9071 
-85.4523 31.8463 -40.8349 
-86.2231 30.9068 -40.7729 
-81.7604 29.9832 -40.6391 
-79.989 29.0127 -40.4878 
-87.9543 28.093 -40.4549 
-89.2686 27.1197 -40.4425 
-89.3963 26.1961 -40.4328 
-85.8442 25.2677 -40.3653 
-6.65444 30.8715 -39.8428 
6.43278 30.9728 -38.9444 
21.3739 31.3067 -38.0912 
56.8058 32.0677 -37.5933 
74.1696 32.9842 -37.3335 
75.0846 33.8927 -37.0915 
64.7302 34.7183 -36.7017 
50.0132 35.4193 -36.1138 
38.5702 35.9914 -35.3964 
34.3195 36.5032 -34.6467 
1.15427 32.3138 -29.5721 
-3.3592 32.1912 -28.6132 
-15.6398 31.9399 -27.7157 
-39.3643 31.3589 -27.0074 
-42.6287 30.7241 -26.3179 
-41.4116 30.1199 -25.6327 
-46.8315 29.4268 -24.9826 
-58.0125 28.6284 -24.484 
-66.0663 27.7801 -24.1075 
207.74 27.8455 -15.8406 
210.754 27.3724 -16.6356 
211.746 26.8863 -17.4212 
209.287 26.4393 -18.2183 
209.794 25.9569 -19.0608 
208.328 25.5061 -19.897 
207.56 25.0686 -20.7354 
204.935 24.6591 -21.6161 
203.276 24.2824 -22.4919 
207.687 23.8404 -23.3341 
202.45 23.4849 -24.1946 
256.17 26.8228 -24.4678 
-85.7921 25.9043 -24.4002 
258.999 25.0103 -24.574 
264.585 24.0907 -24.6612 
70.1476 40.5216 -37.7772 
75.44 41.4303 -37.5412 
73.2862 42.3318 -37.2705 
71.9941 43.2776 -36.9631 
67.7412 44.1829 -36.5925 
63.7838 45.0279 -36.1764 
62.4197 45.8368 -35.7539 
-85.3654 24.5785 -40.3676 
268.173 23.6639 -40.3967 
-86.0541 22.761 -40.3345 
-78.5199 21.8581 -40.1511 
-60.6523 21.0607 -39.7028 
end
MODELS: name, pos x,y,z, rot x,y,z
Church 32.7894 0 -32.6976 0 0 0 
House05 37.2356 0 -37.8761 0 67 0 
House04 35.829 0 -39.385 0 179 0 
House03 34.3408 0 -39.3943 0 0 0 
House04 32.8454 0 -39.4828 0 0 0 
House02 28.3816 0 -39.2542 0 92 0 
House01 24.9991 0 -38.8807 0 0 0 
House01 23.4476 0 -38.917 0 0 0 
House00 37.3488 0 -31.1381 0 -52 0 
Lamp 35.2529 0 -34.102 0 0 0 
Lamp 35.2923 0 -32.663 0 0 0 
Lamp 39.0721 0 -39.7574 0 0 0 
Lamp 37.1295 0 -39.9766 0 0 0 
Lamp 37.3512 0 -35.2882 0 0 0 
Lamp 38.2323 0 -33.6917 0 0 0 
Lamp 40.7959 0 -39.5337 0 0 0 
Lamp 39.7959 0 -36.5006 0 0 0 
Lamp 39.4185 0 -41.5653 0 0 0 
House01 35.2433 0 -37.712 0 -204 0 
House00 37.6133 0 -42.6249 0 -182 0 
House00 33.9653 0 -42.7656 0 -2 0 
Lamp 36.114 0 -41.4548 0 0 0 
Lamp 31.7339 0 -39.9594 0 0 0 
Lamp 30.2113 0 -39.9951 0 0 0 
Lamp 25.974 0 -39.6473 0 0 0 
House05 30.3803 0 -36.6962 0 136 0 
House04 33.5246 0 -27.9751 0 75 0 
House04 27.558 0 -25.8874 0 0 0 
House04 26.0621 0 -25.9023 0 0 0 
House03 26.0437 0 -21.6526 0 113 0 
House03 27.5096 0 -22.8765 0 6 0 
House03 29.3573 0 -23.2722 0 208 0 
House02 31.996 0 -25.0531 0 -42 0 
Lamp 24.7741 0 -23.7331 0 0 0 
Lamp 28.6927 0 -25.6077 0 0 0 
Lamp 29.9028 0 -24.3892 0 0 0 
Lamp 31.331 0 -29.236 0 0 0 
Lamp 33.0512 0 -29.1757 0 0 0 
House05 29.4027 0 -27.5617 0 46 0 
House01 38.4377 0 -29.0812 0 106 0 
House01 38.8718 0 -27.2783 0 103 0 
House01 39.4479 0 -25.5813 0 286 0 
House00 40.1844 0 -23.3632 0 110 0 
House01 40.2695 0 -32.5089 0 131 0 
House01 39.4645 0 -34.2328 0 51 0 
House00 41.349 0 -29.7517 0 -81 0 
House05 42.4538 0 -26.9974 0 -74 0 
House05 43.3417 0 -24.2534 0 -249 0 
House04 31.8524 0 -42.8914 0 0 0 
House04 30.1046 0 -42.4935 0 16 0 
House04 28.2401 0 -42.3331 0 1 0 
House03 26.636 0 -42.0283 0 6 0 
House03 24.9317 0 -41.8772 0 -181 0 
House02 22.2397 0 -42.1102 0 83 0 
Lamp 32.1766 0 -41.7576 0 0 0 
Lamp 27.9338 0 -41.4304 0 0 0 
Lamp 26.6944 0 -39.6099 0 0 0 
Lamp 22.2874 0 -39.3971 0 0 0 
Lamp 22.2179 0 -41.0164 0 0 0 
Lamp 32.3932 0 -36.5356 0 0 0 
House05 41.6418 0 -36.2474 0 -12 0 
House04 43.9006 0 -35.4809 0 -17 0 
House03 41.8499 0 -38.7426 0 -18 0 
House03 43.6725 0 -38.2147 0 -198 0 
House02 46.9164 0 -36.976 0 47 0 
Lamp 44.5628 0 -37.4026 0 0 0 
Lamp 43.2091 0 -36.3474 0 0 0 
House04 41.4205 0 -40.5992 0 85 0 
House04 41.6149 0 -42.1034 0 266 0 
House04 41.5969 0 -43.6096 0 86 0 
House03 41.877 0 -45.0629 0 83 0 
House03 42.0703 0 -46.551 0 -97 0 
House01 38.8145 0 -44.3235 0 89 0 
House01 39.3622 0 -50.8398 0 264 0 
House00 38.7251 0 -47.5319 0 -93 0 
Lamp 39.7656 0 -47.9248 0 0 0 
Lamp 39.7256 0 -46.9044 0 0 0 
